auth,idnumber,username,firstname,lastname,email,password
manual,000000001,student1,student,1,student1@example.com,student1
manual,000000002,student2,student,2,student2@example.com,student2
manual,000000003,student3,student,3,student3@example.com,student3
manual,000000004,student4,student,4,student4@example.com,student4
manual,000000005,student5,student,5,student5@example.com,student5
manual,000000006,student6,student,6,student6@example.com,student6
manual,000000007,student7,student,7,student7@example.com,student7
manual,000000008,student8,student,8,student8@example.com,student8
manual,000000009,student9,student,9,student9@example.com,student9
manual,000000010,student10,student,10,student10@example.com,student10
manual,000000011,teacher1,teacher,1,teacher1@example.com,teacher1
manual,000000012,teacher2,teacher,2,teacher2@example.com,teacher2
manual,000000013,teacher3,teacher,3,teacher3@example.com,teacher3
manual,000000014,teacher4,teacher,4,teacher4@example.com,teacher4
manual,000000015,teacher5,teacher,5,teacher5@example.com,teacher5
manual,000000016,teacher6,teacher,6,teacher6@example.com,teacher6
manual,000000017,teacher7,teacher,7,teacher7@example.com,teacher7
manual,000000018,teacher8,teacher,8,teacher8@example.com,teacher8
manual,000000019,teacher9,teacher,9,teacher9@example.com,teacher9
manual,000000020,teacher10,teacher,10,teacher10@example.com,teacher10
